# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       2.43
2                       2.41
4                       2.41
8                       2.41
16                      2.42
32                      2.41
64                      2.43
128                     2.45
256                     3.02
512                     3.08
1024                    3.16
2048                    3.33
4096                    3.49
8192                    5.82
16384                   6.27
32768                   7.03
65536                   8.46
131072                 11.29
262144                 17.00
524288                 28.27
1048576                50.71
