# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       2.43
2                       2.42
4                       2.42
8                       2.42
16                      2.42
32                      2.42
64                      2.43
128                     2.46
256                     3.02
512                     3.07
1024                    3.17
2048                    3.33
4096                    3.49
8192                    5.84
16384                   6.26
32768                   6.97
65536                   8.42
131072                 11.26
262144                 16.91
524288                 28.23
1048576                50.69
