# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       2.43
2                       2.43
4                       2.43
8                       2.42
16                      2.43
32                      2.43
64                      2.44
128                     2.46
256                     3.02
512                     3.07
1024                    3.16
2048                    3.32
4096                    3.50
8192                    5.85
16384                   6.22
32768                   6.94
65536                   8.42
131072                 11.34
262144                 16.92
524288                 28.25
1048576                50.72
