# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       1.95
2                       3.94
4                       7.83
8                      15.63
16                     31.19
32                     62.38
64                    124.66
128                   248.97
256                   490.77
512                   980.02
1024                 1959.87
2048                 3916.30
4096                 7812.20
8192                13622.89
16384               18878.92
32768               20940.52
65536               22121.02
131072              22715.39
262144              23034.96
524288              23194.99
1048576             23276.05
