# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       1.97
2                       3.95
4                       7.89
8                      15.81
16                     31.66
32                     63.21
64                    126.26
128                   251.83
256                   489.62
512                   980.10
1024                 1963.40
2048                 3916.28
4096                 7805.32
8192                13631.08
16384               18872.44
32768               20946.95
65536               22109.37
131072              22711.60
262144              23033.82
524288              23193.85
1048576             23275.45
