# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       1.95
2                       3.90
4                       7.85
8                      15.62
16                     31.25
32                     62.80
64                    124.91
128                   249.43
256                   487.30
512                   974.31
1024                 1953.90
2048                 3898.58
4096                 7742.47
8192                13604.96
16384               18876.03
32768               20930.55
65536               22103.63
131072              22706.27
262144              23034.16
524288              23194.26
1048576             23275.48
