# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       1.95
2                       3.90
4                       7.82
8                      15.64
16                     31.20
32                     62.42
64                    125.01
128                   249.76
256                   491.02
512                   984.80
1024                 1970.40
2048                 3927.60
4096                 7838.10
8192                13659.24
16384               18880.33
32768               20948.29
65536               22104.95
131072              22705.39
262144              23033.65
524288              23193.86
1048576             23275.43
