# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       1.94
2                       3.89
4                       7.78
8                      15.57
16                     31.14
32                     62.44
64                    125.02
128                   249.87
256                   489.04
512                   979.59
1024                 1957.71
2048                 3914.17
4096                 7805.37
8192                13645.98
16384               18864.88
32768               20945.06
65536               22114.69
131072              22710.53
262144              23033.27
524288              23194.50
1048576             23275.55
