# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       1.95
2                       3.90
4                       7.79
8                      15.60
16                     31.17
32                     62.34
64                    124.43
128                   248.70
256                   489.56
512                   977.84
1024                 1962.98
2048                 3918.62
4096                 7835.15
8192                13641.58
16384               18853.77
32768               20932.60
65536               22102.52
131072              22705.48
262144              23034.93
524288              23193.66
1048576             23275.51
