# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       1.97
2                       3.94
4                       7.86
8                      15.69
16                     31.41
32                     63.15
64                    125.89
128                   250.84
256                   490.49
512                   978.85
1024                 1959.80
2048                 3916.29
4096                 7828.13
8192                13614.87
16384               18868.90
32768               20926.39
65536               22105.46
131072              22706.64
262144              23031.22
524288              23193.33
1048576             23275.24
