# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       1.96
2                       3.93
4                       7.89
8                      15.79
16                     31.49
32                     63.05
64                    126.57
128                   251.29
256                   489.04
512                   981.41
1024                 1966.15
2048                 3904.65
4096                 7782.92
8192                13687.05
16384               18885.58
32768               20943.36
65536               22110.23
131072              22707.74
262144              23035.67
524288              23195.02
1048576             23275.98
