# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       1.97
2                       3.93
4                       7.89
8                      15.71
16                     31.45
32                     62.91
64                    125.81
128                   251.10
256                   489.52
512                   979.20
1024                 1957.72
2048                 3918.67
4096                 7754.64
8192                13631.23
16384               18851.46
32768               20919.24
65536               22093.81
131072              22705.53
262144              23032.87
524288              23193.61
1048576             23275.24
