# OSU MPI_Get Bandwidth Test v7.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      34.85
2                      72.00
4                     143.79
8                     289.19
16                    577.78
32                   1163.70
64                   2303.99
128                  4448.93
256                  7894.74
512                 13225.24
1024                16801.58
2048                21115.25
4096                23955.69
8192                26323.69
16384               23348.29
32768               23606.39
65536               23789.27
131072              16539.98
262144              14215.34
