# OSU MPI_Get Bandwidth Test v7.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      34.71
2                      71.81
4                     141.89
8                     288.50
16                    580.17
32                   1169.62
64                   2310.67
128                  4479.07
256                  7927.14
512                 13155.04
1024                16982.49
2048                21291.52
4096                24127.63
8192                26921.93
16384               23292.51
32768               23505.82
65536               23781.51
131072              16581.12
262144              14348.10
