# OSU MPI_Get Bandwidth Test v7.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      34.95
2                      71.98
4                     143.55
8                     289.25
16                    583.14
32                   1161.94
64                   2291.35
128                  4430.34
256                  7874.00
512                 13164.18
1024                16897.68
2048                21192.37
4096                23906.06
8192                26032.88
16384               23248.34
32768               23547.89
65536               23893.29
131072              16784.27
262144              14385.87
