# OSU MPI_Get Bandwidth Test v7.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      35.01
2                      70.34
4                     143.80
8                     289.25
16                    582.92
32                   1166.34
64                   2306.00
128                  4481.65
256                  7945.98
512                 13183.31
1024                16662.76
2048                21069.66
4096                23899.72
8192                25896.57
16384               23290.22
32768               23564.02
65536               23766.61
131072              16647.71
262144              14318.54
