# OSU MPI_Get Bandwidth Test v7.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      34.70
2                      71.78
4                     143.30
8                     289.05
16                    581.05
32                   1167.33
64                   2311.68
128                  4507.18
256                  7889.44
512                 13129.83
1024                16840.13
2048                21176.96
4096                23649.90
8192                26511.34
16384               23303.91
32768               23630.69
65536               23791.76
131072              16782.75
262144              14305.00
