# OSU MPI_Get Bandwidth Test v7.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      34.84
2                      71.99
4                     144.25
8                     288.42
16                    582.81
32                   1156.29
64                   2258.95
128                  4492.22
256                  7907.11
512                 13154.75
1024                16827.34
2048                21178.09
4096                23824.56
8192                26711.84
16384               23227.25
32768               23535.02
65536               23883.12
131072              16786.09
262144              14352.79
