# OSU MPI_Get Bandwidth Test v7.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      34.72
2                      71.41
4                     143.07
8                     287.45
16                    583.76
32                   1175.73
64                   2306.47
128                  4502.27
256                  7896.90
512                 13213.61
1024                16850.66
2048                21111.82
4096                24196.23
8192                26188.88
16384               23405.68
32768               23530.23
65536               23856.60
131072              16753.40
262144              14232.19
