# OSU MPI_Get Bandwidth Test v7.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      34.67
2                      71.99
4                     144.13
8                     289.89
16                    582.31
32                   1170.96
64                   2307.34
128                  4501.08
256                  7941.04
512                 13100.33
1024                16969.63
2048                21135.27
4096                24114.99
8192                25571.28
16384               23486.43
32768               23599.21
65536               23695.14
131072              16778.22
262144              14305.41
