# OSU MPI_Get Bandwidth Test v7.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      34.66
2                      71.91
4                     144.51
8                     289.85
16                    579.56
32                   1162.50
64                   2307.94
128                  4478.42
256                  7914.31
512                 13181.06
1024                16976.40
2048                21236.48
4096                24117.06
8192                25988.50
16384               23527.96
32768               23596.29
65536               23790.95
131072              16744.76
262144              14133.89
