# OSU MPI_Get Bandwidth Test v7.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      38.99
2                      78.22
4                     156.36
8                     319.00
16                    644.10
32                   1267.67
64                   2516.66
128                  4911.14
256                  8599.12
512                 14190.94
1024                17848.65
2048                22035.69
4096                24580.25
8192                25972.36
16384               23166.86
32768               23517.79
65536               23838.09
131072              17245.32
262144              15494.77
