# OSU MPI_Get Bandwidth Test v7.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      38.47
2                      78.29
4                     155.83
8                     316.90
16                    639.97
32                   1281.95
64                   2492.56
128                  4870.80
256                  8551.83
512                 14196.72
1024                17728.73
2048                21846.22
4096                24711.60
8192                25465.64
16384               23160.67
32768               23493.43
65536               23697.87
131072              17477.36
262144              15427.60
