# OSU MPI_Get Bandwidth Test v7.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      38.60
2                      78.42
4                     155.72
8                     317.85
16                    641.80
32                   1286.32
64                   2513.77
128                  4918.47
256                  8592.23
512                 14213.69
1024                17744.84
2048                21810.00
4096                24839.50
8192                25958.93
16384               23078.64
32768               23532.74
65536               23723.38
131072              17100.12
262144              15491.42
