# OSU MPI_Get Bandwidth Test v7.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      39.51
2                      78.33
4                     156.96
8                     318.37
16                    633.30
32                   1286.84
64                   2515.74
128                  4849.05
256                  8562.29
512                 14114.19
1024                17802.76
2048                21928.76
4096                24337.38
8192                26572.02
16384               23267.66
32768               23532.65
65536               23737.97
131072              17390.58
262144              15429.01
