# OSU MPI_Get Bandwidth Test v7.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      39.02
2                      78.15
4                     155.50
8                     317.31
16                    638.12
32                   1275.59
64                   2479.92
128                  4967.79
256                  8520.43
512                 14228.11
1024                17821.82
2048                21803.71
4096                24552.06
8192                26253.61
16384               23225.65
32768               23518.47
65536               23819.18
131072              17345.89
262144              15522.61
