# OSU MPI_Get Bandwidth Test v7.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      39.33
2                      77.84
4                     155.19
8                     317.74
16                    642.86
32                   1283.12
64                   2498.44
128                  4889.78
256                  8545.71
512                 14220.30
1024                17800.46
2048                21963.43
4096                24429.79
8192                25680.93
16384               23215.30
32768               23520.07
65536               23765.16
131072              17330.37
262144              15484.29
