# OSU MPI_Get Bandwidth Test v7.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      39.00
2                      78.48
4                     158.09
8                     317.17
16                    639.74
32                   1285.73
64                   2535.09
128                  4845.14
256                  8567.52
512                 14263.11
1024                17787.53
2048                21854.54
4096                23312.40
8192                25577.59
16384               23197.18
32768               23510.74
65536               23791.83
131072              17229.56
262144              15525.54
