# OSU MPI_Get Bandwidth Test v7.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      39.56
2                      78.04
4                     158.75
8                     318.45
16                    632.01
32                   1286.11
64                   2499.11
128                  4971.59
256                  8549.51
512                 14189.07
1024                17838.21
2048                21972.05
4096                24020.88
8192                25281.19
16384               23132.97
32768               23444.31
65536               23751.95
131072              17355.47
262144              15531.77
