# OSU MPI_Get Bandwidth Test v7.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      38.75
2                      78.48
4                     157.39
8                     317.98
16                    643.77
32                   1278.95
64                   2515.89
128                  4891.84
256                  8553.58
512                 14229.32
1024                17766.59
2048                22007.70
4096                24615.15
8192                25759.66
16384               23293.45
32768               23624.58
65536               23767.72
131072              17288.94
262144              15435.07
