# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.08
2                       4.15
4                       8.33
8                      16.65
16                     33.24
32                     66.68
64                    132.74
128                   263.11
256                   515.73
512                  1028.04
1024                 2057.79
2048                 4101.32
4096                 8191.96
8192                14189.10
16384               18833.67
32768               20933.27
65536               22102.27
131072              22712.50
262144              23037.93
524288              23196.77
1048576             23276.78
