# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.08
2                       4.16
4                       8.33
8                      16.67
16                     33.34
32                     66.71
64                    133.15
128                   264.08
256                   516.80
512                  1034.43
1024                 2065.55
2048                 4118.60
4096                 8224.23
8192                14031.83
16384               18901.23
32768               20917.52
65536               22101.31
131072              22710.00
262144              23036.93
524288              23195.63
1048576             23276.39
