# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.07
2                       4.16
4                       8.31
8                      16.62
16                     33.27
32                     66.49
64                    132.52
128                   263.15
256                   513.95
512                  1028.66
1024                 2059.31
2048                 4104.98
4096                 8198.97
8192                14052.80
16384               18921.16
32768               20950.90
65536               22109.15
131072              22717.31
262144              23038.32
524288              23196.15
1048576             23276.40
