# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.06
2                       4.12
4                       8.26
8                      16.54
16                     33.07
32                     66.16
64                    132.31
128                   262.83
256                   517.85
512                  1036.58
1024                 2069.45
2048                 4118.46
4096                 8231.26
8192                14208.18
16384               18909.44
32768               20946.52
65536               22112.94
131072              22712.25
262144              23036.50
524288              23195.78
1048576             23276.49
