# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.07
2                       4.15
4                       8.32
8                      16.63
16                     33.24
32                     66.62
64                    132.75
128                   264.13
256                   516.24
512                  1032.19
1024                 2063.40
2048                 4106.52
4096                 8196.33
8192                14099.26
16384               18944.78
32768               20927.23
65536               22099.92
131072              22710.54
262144              23037.16
524288              23195.89
1048576             23276.43
