# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.07
2                       4.14
4                       8.28
8                      16.57
16                     33.10
32                     66.34
64                    132.12
128                   262.38
256                   515.07
512                  1029.54
1024                 2062.16
2048                 4097.60
4096                 8185.98
8192                14190.90
16384               18846.51
32768               20936.00
65536               22108.64
131072              22713.06
262144              23037.24
524288              23196.28
1048576             23276.59
