# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.08
2                       4.17
4                       8.33
8                      16.71
16                     33.38
32                     66.87
64                    132.92
128                   264.30
256                   514.77
512                  1030.20
1024                 2059.99
2048                 4107.34
4096                 8206.44
8192                14026.11
16384               18940.00
32768               20945.29
65536               22101.76
131072              22710.72
262144              23036.99
524288              23195.91
1048576             23276.61
