# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.08
2                       4.17
4                       8.34
8                      16.70
16                     33.37
32                     66.97
64                    133.08
128                   264.53
256                   514.69
512                  1029.25
1024                 2059.90
2048                 4108.92
4096                 8198.77
8192                14199.51
16384               18918.21
32768               20940.51
65536               22110.06
131072              22716.87
262144              23038.55
524288              23196.52
1048576             23276.76
