# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.08
2                       4.16
4                       8.34
8                      16.67
16                     33.22
32                     66.74
64                    132.81
128                   263.40
256                   513.70
512                  1027.81
1024                 2060.85
2048                 4102.76
4096                 8186.54
8192                14210.05
16384               18896.23
32768               20951.01
65536               22109.54
131072              22712.33
262144              23036.69
524288              23196.08
1048576             23276.43
