# OSU MPI_Get Bandwidth Test v7.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      37.88
2                      77.76
4                     158.41
8                     318.96
16                    638.52
32                   1282.63
64                   2511.79
128                  4861.18
256                  8611.22
512                 14218.80
1024                17755.65
2048                22011.74
4096                24563.08
8192                26382.79
16384               23130.35
32768               23590.61
65536               23778.20
131072              17405.89
262144              15483.98
