# OSU MPI_Get Bandwidth Test v7.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      38.78
2                      78.25
4                     157.38
8                     318.28
16                    643.36
32                   1284.13
64                   2533.70
128                  4877.90
256                  8609.35
512                 14225.04
1024                17768.20
2048                21885.17
4096                24402.27
8192                26103.67
16384               23276.94
32768               23627.34
65536               23799.73
131072              17228.44
262144              15432.40
