# OSU MPI_Get Bandwidth Test v7.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      38.87
2                      77.77
4                     156.88
8                     318.00
16                    630.34
32                   1269.24
64                   2517.69
128                  4910.81
256                  8583.37
512                 14259.66
1024                17806.26
2048                21739.88
4096                24877.27
8192                26379.49
16384               23094.32
32768               23623.44
65536               23855.50
131072              17548.10
262144              15558.58
