# OSU MPI_Get Bandwidth Test v7.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      38.27
2                      78.03
4                     156.27
8                     318.24
16                    628.84
32                   1276.51
64                   2500.53
128                  4867.13
256                  8560.37
512                 14256.61
1024                17698.66
2048                21810.58
4096                24113.12
8192                25638.50
16384               23187.21
32768               23524.25
65536               23772.70
131072              17368.19
262144              15505.18
