# OSU MPI_Get Bandwidth Test v7.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      38.95
2                      78.21
4                     156.27
8                     318.33
16                    643.34
32                   1277.28
64                   2483.28
128                  4859.64
256                  8541.18
512                 14170.20
1024                17815.58
2048                22047.37
4096                24904.49
8192                25796.33
16384               23257.23
32768               23675.82
65536               23771.75
131072              17404.79
262144              15470.07
