# OSU MPI_Get Bandwidth Test v7.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      37.16
2                      74.20
4                     149.09
8                     301.56
16                    603.18
32                   1193.36
64                   2392.21
128                  4663.00
256                  8596.72
512                 14179.44
1024                17737.16
2048                21839.11
4096                24946.66
8192                25879.14
16384               23324.56
32768               23564.58
65536               23785.65
131072              17598.20
262144              15517.15
