# OSU MPI_Get Bandwidth Test v7.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      39.05
2                      78.04
4                     156.33
8                     318.42
16                    643.33
32                   1288.13
64                   2508.85
128                  4908.81
256                  8577.04
512                 14220.18
1024                17853.43
2048                21968.54
4096                24271.69
8192                26645.85
16384               23271.04
32768               23589.06
65536               23782.53
131072              17343.40
262144              15425.51
