# OSU MPI_Get Bandwidth Test v7.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      39.03
2                      78.23
4                     156.58
8                     318.26
16                    640.72
32                   1279.14
64                   2482.55
128                  4892.40
256                  8598.42
512                 14177.68
1024                17811.67
2048                21971.92
4096                24865.71
8192                26522.34
16384               23295.97
32768               23558.57
65536               23792.53
131072              17193.49
262144              15430.55
