# OSU MPI_Get Bandwidth Test v7.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      38.83
2                      77.78
4                     157.77
8                     318.46
16                    638.38
32                   1274.03
64                   2481.07
128                  4872.60
256                  8570.73
512                 14248.92
1024                17789.43
2048                21899.71
4096                24863.20
8192                26474.66
16384               23182.50
32768               23595.99
65536               23820.64
131072              17250.39
262144              15463.49
