# OSU MPI_Get Bandwidth Test v7.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      36.96
2                      74.15
4                     148.60
8                     302.22
16                    598.37
32                   1217.26
64                   2377.00
128                  4667.45
256                  8556.73
512                 14236.91
1024                17741.82
2048                22008.03
4096                24397.67
8192                26230.23
16384               23305.22
32768               23551.24
65536               23819.74
131072              17319.60
262144              15393.73
