# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       2.39
2                       2.37
4                       2.37
8                       2.37
16                      2.38
32                      2.37
64                      2.39
128                     2.40
256                     2.97
512                     3.02
1024                    3.11
2048                    3.28
4096                    3.44
8192                    5.75
16384                   6.17
32768                   6.98
65536                   8.37
131072                 11.21
262144                 16.93
524288                 28.19
1048576                50.68
