# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       2.39
2                       2.38
4                       2.38
8                       2.38
16                      2.38
32                      2.38
64                      2.39
128                     2.42
256                     2.99
512                     3.03
1024                    3.11
2048                    3.28
4096                    3.44
8192                    5.80
16384                   6.23
32768                   6.93
65536                   8.36
131072                 11.25
262144                 16.89
524288                 28.19
1048576                50.68
