# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       2.39
2                       2.38
4                       2.37
8                       2.37
16                      2.38
32                      2.37
64                      2.39
128                     2.41
256                     2.97
512                     3.02
1024                    3.10
2048                    3.28
4096                    3.43
8192                    5.79
16384                   6.18
32768                   6.93
65536                   8.32
131072                 11.19
262144                 16.92
524288                 28.17
1048576                50.67
