# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       2.39
2                       2.38
4                       2.38
8                       2.37
16                      2.38
32                      2.38
64                      2.39
128                     2.41
256                     2.97
512                     3.02
1024                    3.10
2048                    3.27
4096                    3.45
8192                    5.74
16384                   6.24
32768                   6.93
65536                   8.41
131072                 11.21
262144                 16.92
524288                 28.20
1048576                50.67
