# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       2.41
2                       2.39
4                       2.39
8                       2.39
16                      2.39
32                      2.39
64                      2.40
128                     2.43
256                     2.98
512                     3.03
1024                    3.10
2048                    3.28
4096                    3.44
8192                    5.78
16384                   6.17
32768                   6.99
65536                   8.34
131072                 11.26
262144                 16.92
524288                 28.22
1048576                50.68
