# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       2.38
2                       2.37
4                       2.37
8                       2.37
16                      2.38
32                      2.38
64                      2.38
128                     2.41
256                     2.97
512                     3.02
1024                    3.11
2048                    3.29
4096                    3.45
8192                    5.82
16384                   6.23
32768                   6.90
65536                   8.41
131072                 11.24
262144                 16.94
524288                 28.22
1048576                50.67
