# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.08
2                       4.17
4                       8.33
8                      16.71
16                     33.30
32                     66.59
64                    133.13
128                   265.01
256                   514.30
512                  1028.92
1024                 2060.62
2048                 4111.63
4096                 8164.23
8192                14329.24
16384               18927.52
32768               20967.41
65536               22116.01
131072              22711.15
262144              23037.50
524288              23196.19
1048576             23276.78
