# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.07
2                       4.16
4                       8.32
8                      16.56
16                     33.13
32                     66.26
64                    132.40
128                   264.28
256                   516.11
512                  1033.48
1024                 2054.65
2048                 4101.96
4096                 8210.54
8192                14271.36
16384               18912.64
32768               20979.41
65536               22122.09
131072              22715.18
262144              23039.42
524288              23197.10
1048576             23277.15
