# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.08
2                       4.18
4                       8.34
8                      16.70
16                     33.40
32                     66.71
64                    133.22
128                   265.11
256                   514.53
512                  1029.33
1024                 2061.29
2048                 4114.53
4096                 8220.62
8192                14204.64
16384               18909.20
32768               20950.07
65536               22101.41
131072              22708.61
262144              23035.95
524288              23195.66
1048576             23276.53
