# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.08
2                       4.17
4                       8.31
8                      16.62
16                     33.23
32                     66.55
64                    132.96
128                   264.08
256                   519.23
512                  1038.61
1024                 2075.38
2048                 4142.25
4096                 8247.87
8192                14209.09
16384               18937.84
32768               20951.00
65536               22104.21
131072              22712.90
262144              23037.95
524288              23196.48
1048576             23276.80
