# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.09
2                       4.15
4                       8.33
8                      16.64
16                     33.27
32                     66.52
64                    132.87
128                   263.60
256                   519.54
512                  1038.18
1024                 2074.43
2048                 4142.21
4096                 8270.90
8192                14301.75
16384               18912.90
32768               20936.84
65536               22094.37
131072              22704.86
262144              23035.96
524288              23195.43
1048576             23276.33
