# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.07
2                       4.14
4                       8.30
8                      16.57
16                     33.17
32                     66.32
64                    132.54
128                   264.24
256                   515.95
512                  1032.10
1024                 2066.53
2048                 4123.93
4096                 8212.86
8192                14314.58
16384               18913.52
32768               20954.92
65536               22109.42
131072              22706.84
262144              23035.93
524288              23196.11
1048576             23276.62
