# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.08
2                       4.16
4                       8.33
8                      16.65
16                     33.24
32                     66.52
64                    132.80
128                   264.99
256                   515.25
512                  1030.92
1024                 2068.89
2048                 4139.76
4096                 8177.88
8192                14257.86
16384               18900.64
32768               20960.30
65536               22109.73
131072              22705.46
262144              23035.53
524288              23194.88
1048576             23276.07
