# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.05
2                       4.11
4                       8.22
8                      16.42
16                     32.88
32                     65.91
64                    131.80
128                   263.17
256                   516.87
512                  1032.94
1024                 2061.40
2048                 4120.70
4096                 8211.65
8192                14285.33
16384               18925.36
32768               20982.76
65536               22118.54
131072              22711.32
262144              23034.70
524288              23194.98
1048576             23276.20
