# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.06
2                       4.15
4                       8.28
8                      16.53
16                     33.07
32                     66.16
64                    132.05
128                   263.73
256                   518.40
512                  1036.74
1024                 2074.34
2048                 4129.46
4096                 8233.04
8192                14343.57
16384               18925.94
32768               20964.39
65536               22116.89
131072              22709.10
262144              23035.81
524288              23195.47
1048576             23276.41
